gene_id,gene_symbol,fpkm_C42B0,fpkm_C42B25nM,fpkm_C42B50nM,tpm_C42B0,tpm_C42B25nM,tpm_C42B50nM,read_count_C42B0,read_count_C42B25nM,read_count_C42B50nM
7581,ZNF33A,4.68,5.95,6.57,8.66,11.26,12.13,537.74,667.86,712.52
7582,ZNF33B,4.22,2.68,2.89,7.81,5.07,5.33,476.76,295.96,308.41
7584,ZNF35,3.09,2.8,3.08,5.72,5.3,5.7,153,135,144
7586,ZKSCAN1,11.39,14.15,11.88,21.1,26.76,21.94,1951.48,2325.89,1922.97
7587,ZNF37A,7.99,5.3,4.98,14.8,10.03,9.19,1022.29,654.9,612.99
7589,ZSCAN21,6.5,10.42,9.85,12.03,19.72,18.18,261.58,397.56,362.13
7592,ZNF41,3.06,4.4,3.57,5.67,8.33,6.6,381.65,512.95,395.75
7593,MZF1,16.26,9.53,9.64,30.12,18.03,17.8,818,497.63,483.64
7594,ZNF43,4.15,2.45,2.77,7.68,4.63,5.11,472.67,272.67,309.83
7596,ZNF45,2.2,2.54,1.79,4.08,4.81,3.3,158.85,185.91,125.99
7597,ZBTB25,4.73,5.68,7.13,8.75,10.74,13.17,388.04,532.16,534.84
7608,ZNF56,0.54,0.77,0.52,1,1.46,0.96,18.23,25.31,16.62
7617,ZNF66,10.44,15.09,16.09,19.33,28.55,29.7,889.81,1251.14,1292.41
7620,ZNF69,0.2,0.8,0.65,0.37,1.52,1.21,10.7,35.56,30.19
7621,ZNF70,0.89,1.69,1.82,1.65,3.19,3.37,116.86,201.93,198.95
7625,ZNF74,7.98,7.56,7.79,14.77,14.3,14.39,564.45,508.29,511.55
7626,ZNF75D,4.62,6.54,5.29,8.55,12.37,9.78,359,501,376
7627,ZNF75A,4.5,10.04,11.21,8.34,18.99,20.7,221.89,509.89,526.41
7629,ZNF76,13.82,11.87,13.59,25.58,22.45,25.09,675,578,645
7633,ZNF79,2.94,6.84,6.64,5.45,12.93,12.27,157.1,373.71,363.26
7634,ZNF80,3.81,2.25,3.03,7.06,4.26,5.6,209.81,120.45,157.41
7637,ZNF84,2.34,4.13,3.96,4.34,7.81,7.31,308.11,523.18,486.11
7638,ZNF221,0.15,0.07,0.17,0.27,0.13,0.31,7.36,4.38,11.83
7639,ZNF85,3.4,3.15,3.54,6.3,5.96,6.53,125.56,127.37,134.53
7643,ZNF90,0.06,0.05,0.12,0.11,0.09,0.23,4.3,3.29,8.07
7644,ZNF91,2.64,4.69,4.79,4.89,8.87,8.85,234.01,407.96,413.05
